import time: self [us] | cumulative | imported package
import time:      2723 |       2723 |                 matplotlib.backends.registry
import time:      1874 |       4597 |               matplotlib.backends
import time:      2135 |       2135 |                   PIL._version
import time:      2841 |       4976 |                 PIL
import time:      5546 |       5546 |                   PIL.ExifTags
import time:      1863 |       1863 |                     PIL._deprecate
import time:      1923 |       3785 |                   PIL.ImageMode
import time:      2279 |       2279 |                   PIL.TiffTags
import time:      1083 |       1083 |                   PIL._binary
import time:      1141 |       1141 |                     PIL._typing
import time:       953 |       2093 |                   PIL._util
import time:       488 |        488 |                   defusedxml
import time:      5208 |       5208 |                   PIL._imaging
import time:      4240 |      24720 |                 PIL.Image
import time:      2189 |       2189 |                   PIL.ImageChops
import time:      2093 |       2093 |                   PIL.ImageFile
import time:       315 |        315 |                     array
import time:      1858 |       1858 |                     PIL.GimpGradientFile
import time:      1140 |       1140 |                     PIL.GimpPaletteFile
import time:      1119 |       1119 |                     PIL.ImageColor
import time:      1192 |       1192 |                     PIL.PaletteFile
import time:      1906 |       7528 |                   PIL.ImagePalette
import time:      1050 |       1050 |                   PIL.ImageSequence
import time:      3603 |      16462 |                 PIL.PngImagePlugin
import time:      1686 |       1686 |                 matplotlib._cm
import time:      4657 |       4657 |                       matplotlib._path
import time:      1513 |       1513 |                         matplotlib.bezier
import time:      2266 |       3779 |                       matplotlib.path
import time:      3680 |      12115 |                     matplotlib.transforms
import time:      2316 |      14431 |                   matplotlib.ticker
import time:      3180 |      17611 |                 matplotlib.scale
import time:      4898 |       4898 |                 matplotlib._image
import time:      1814 |       1814 |                 matplotlib._color_data
import time:      4883 |      77047 |               matplotlib.colors
import time:      1464 |       1464 |                   pyparsing.util
import time:      1493 |       1493 |                     pyparsing.unicode
import time:      4909 |       6402 |                   pyparsing.exceptions
import time:      1771 |       1771 |                     pyparsing.results
import time:      2663 |       4434 |                   pyparsing.actions
import time:     15619 |      15619 |                   pyparsing.core
import time:      2444 |       2444 |                         html.entities
import time:      2538 |       4981 |                       html
import time:        53 |       5034 |                     html.entities
import time:      4477 |       9511 |                   pyparsing.helpers
import time:      3089 |       3089 |                   pyparsing.testing
import time:      5458 |       5458 |                   pyparsing.common
import time:      2374 |      48347 |                 pyparsing
import time:      1538 |      49885 |               matplotlib._fontconfig_pattern
import time:      1725 |       1725 |               matplotlib._enums
import time:      2023 |       2023 |               cycler
import time:      2479 |     137754 |             matplotlib.rcsetup
import time:      9232 |       9232 |             matplotlib.ft2font
import time:       871 |        871 |             dateutil._version
import time:      1101 |       1101 |               kiwisolver.exceptions
import time:      2859 |       3960 |             kiwisolver._cext
import time:      5656 |       5656 |                 matplotlib.artist
import time:      3165 |       8820 |               matplotlib.colorizer
import time:      4513 |       4513 |               matplotlib._cm_listed
import time:      2066 |       2066 |               matplotlib._cm_multivar
import time:      1900 |       1900 |               matplotlib._cm_bivar
import time:      5208 |      22504 |             matplotlib.cm
import time:     16586 |     242129 |           matplotlib
import time:      2051 |       2051 |               matplotlib.hatch
import time:      2408 |       2408 |                 matplotlib.markers
import time:     11915 |      14323 |               matplotlib.lines
import time:     34220 |      50593 |             matplotlib.collections
import time:      3219 |       3219 |                   _socket
import time:      1306 |       1306 |                     select
import time:      1911 |       3217 |                   selectors
import time:      2531 |       8966 |                 socket
import time:      1580 |       1580 |                     _uuid
import time:      1592 |       3172 |                   uuid
import time:      1668 |       1668 |                   matplotlib._pylab_helpers
import time:      2571 |       7410 |                 matplotlib.backend_tools
import time:       114 |        114 |                           _json
import time:      1385 |       1498 |                         json.scanner
import time:      1515 |       3013 |                       json.decoder
import time:      1599 |       1599 |                       json.encoder
import time:      1371 |       5982 |                     json
import time:      1395 |       1395 |                           xml
import time:      1611 |       3006 |                         xml.parsers
import time:      3652 |       3652 |                         pyexpat
import time:      1675 |       8332 |                       xml.parsers.expat
import time:      2181 |      10512 |                     plistlib
import time:      2148 |       2148 |                       matplotlib._mathtext_data
import time:      1586 |       3733 |                     matplotlib._afm
import time:      5749 |      25976 |                   matplotlib.font_manager
import time:     26429 |      26429 |                   matplotlib.patches
import time:      4389 |       4389 |                     matplotlib._text_helpers
import time:      2338 |       2338 |                     matplotlib.dviread
import time:      2669 |       2669 |                         unicodedata
import time:      7114 |       9782 |                       matplotlib._mathtext
import time:      1415 |      11197 |                     matplotlib.mathtext
import time:      1417 |       1417 |                     matplotlib.texmanager
import time:      2235 |      21574 |                   matplotlib.textpath
import time:      7136 |      81114 |                 matplotlib.text
import time:      1460 |       1460 |                 matplotlib._tight_bbox
import time:      2471 |       2471 |                 matplotlib.widgets
import time:      1299 |       1299 |                 matplotlib.backend_managers
import time:      1178 |       1178 |                     matplotlib._layoutgrid
import time:      1273 |       2450 |                   matplotlib._constrained_layout
import time:       955 |        955 |                   matplotlib._tight_layout
import time:      1204 |       4608 |                 matplotlib.layout_engine
import time:     15415 |     122740 |               matplotlib.backend_bases
